"nomem_encr","age.11","age.21","agecat.11","agecat.21","sex","status.11","status.21","bruttoinc.11","bruttoinc.21","bruttoinc_imputed.11","bruttoinc_imputed.21","contract.11","contract.21","educ.no.dipl.11","educ.dipl.11","educ.cbs.cat.11","origin","domestic.status.11","civil.status.11","financial.satisfaction.11","inc.realestate.11","inc.house.ownership.grant.11","inc.student.grant.11","inc.student.loan.11","inc.alimony.ex.11","inc.alimony.child.11","inc.study.allowance.parents.11","inc.allowance.family.11","inc.investments.11","inc.interests.11","inc.none.11","religion.11","religion.parents","speaks.dutch","speaks.arab","speaks.berber","speaks.german","speaks.frisian","speaks.indonesian","speaks.turkish","speaks.flemish","speaks.other","ca10b078","ca10b005","ca10b006","ca10b007","ca10b008","ca10b009","tot.money.10","tot.money.cat.10","tot.val.invest.10","tot.val.invest.cat.10","tot.val.real.10","tot.val.real.cat.10","ca10b023","ca10b024","ca10b054","ca10b055","ca10b056","cs11d070","cs11d079","cs11d102","cs11d103","cs11d105","cs11d294","cs11d295","cs11d296","cs11d297","cs11d298","cs11d305","cs11d306","cs11d307","cs11d308","cs11d309","cs11d310","cs11d311","cs11d312","cs11d313","cs11d314","cs11d321","cs11d332","cs11d343","cs11d354","cs11d365","cs11d326","cs11d337","cs11d348","cs11d359","cs11d370","overall.health.10","height.10","weight.10","ch10d018","ch10d081","ch10d085","ch10d099","happiness.11","life.satisfaction.11","cp11d014","cp11d015","cp11d016","cp11d017","cp11d018","social.trust.11","cp11d020","cp11d021","cp11d022","cp11d023","cp11d024","cp11d025","cp11d026","cp11d027","cp11d028","cp11d029","cp11d030","cp11d031","cp11d032","cp11d033","cp11d034","cp11d035","cp11d036","cp11d037","cp11d038","cp11d039","cp11d098","gov.satisfaction.11","interest.news.11","interest.politics.11","cv11d030","cv11d031","cv11d032","cv11d033","cv11d034","cv11d035","cv11d036","cv11d037","cv11d038","cv11d039","cv11d040","cv11d041","cv11d042","cv11d043","cv11d044","cv11d045","cv11d046","cv11d047","cv11d048","cv11d049","cv11d050","cv11d051","cv11d052","cv11d053","last.vote.11","vote.today.11","cv11d173","cv11d174","cv11d175","cv11d176","cv11d177","cv11d178","cv11d179","cv11d180","cv11d181","cv11d182","status.contract.11","status.contract.21"
800119,60,71,"55 - 64",">=65",2,"inactive","retired",500,-13,500,548.547961669689,NA,NA,2,2,2,101,3,1,6,0,0,0,0,0,0,0,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,99999999999,999,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,1,2,4,1,1,1,1,1,1,1,2,2,1,2,2,2,2,1,1,4,4,3,3,6,6,6,8,8,3,169,82,2,0,0,1,7,7,5,5,5,4,4,3,4,2,4,4,3,2,4,1,3,3,5,2,4,4,4,1,5,2,3,3,4,3,2,3,6,5,5,6,6,7,6,6,6,7,7,6,7,7,6,7,5,1,1,1,2,2,1,3,NA,2,6,7,7,6,999,999,999,999,999,999,"inactive","retired"
800170,52,63,"45 - 54","55 - 64",2,"employed","employed",2492,2903,2492,2903,"employee in permanent employment","employee in permanent employment",4,4,4,0,3,2,7,0,0,0,0,0,0,0,0,0,0,1,6,NA,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,30000,NA,5000,NA,NA,NA,500,NA,2,NA,NA,2,NA,2,1,NA,1,1,1,0,0,1,1,NA,NA,1,NA,NA,NA,NA,NA,9,9,2,NA,NA,3,3,2,NA,NA,3,160,62,2,0,0,1,8,7,5,5,4,3,6,2,3,2,4,2,4,3,4,1,4,2,4,1,4,3,4,3,5,1,4,3,2,4,2,2,9,8,5,4,5,5,6,5,3,4,8,7,6,7,6,7,5,1,1,1,2,1,1,1,3,5,8,0,7,2,4,3,2,4,3,4,"employed.permanent","employed.permanent"
800186,72,82,">=65",">=65",2,"school or other","inactive",673,-13,673,2185.64654402031,NA,NA,2,2,2,0,2,1,8,0,0,0,0,0,0,0,0,0,1,0,1,NA,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,15000,NA,NA,NA,NA,NA,6000,NA,2,NA,NA,2,3.5,3,2,1.5,1,1,1,1,0,1,1,2,NA,1,2,NA,2,NA,NA,4,4,4,3,NA,4,3,4,3,NA,3,169,70,2,1,0,1,8,7,6,5,6,6,6,6,4,1,3,3,4,2,4,2,3,2,4,2,3,4,3,2,4,1,3,3,2,3,1,2,6,6,7,7,6,6,7,7,7,6,7,8,8,6,6,7,6,1,1,2,1,1,1,1,7,8,6,7,4,5,6,7,7,7,999,999,"school_other","inactive"
800201,37,48,"35 - 44","45 - 54",1,"employed","employed",1200,2200,1200,2200,"employee in temporary employment","employee in permanent employment",4,7,1,0,2,1,7,0,0,0,0,0,0,0,0,0,1,0,NA,NA,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,20000,NA,NA,NA,NA,NA,6000,NA,2,NA,NA,2,NA,5,3,8,1,1,1,1,1,2,1,1,2,2,3,3,1,3,3,1,9,3,2,9,5,6,4,3,4,3,173,70,2,NA,NA,1,7,7,4,5,4,3,3,7,1,1,3,3,4,3,4,1,3,1,4,1,4,4,3,4,4,1,2,3,2,4,2,2,6,7,7,7,6,7,6,6,5,6,7,7,7,7,7,7,7,2,2,2,1,1,2,1,7,9,4,5,2,5,7,7,7,6,5,7,"employed.temporary","employed.permanent"
800204,69,79,">=65",">=65",1,"retired","retired",2198,1973,2198,1973,NA,NA,2,2,2,NA,2,1,7,0,0,0,0,0,0,0,0,0,1,0,NA,NA,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,21000,NA,NA,NA,NA,NA,25000,NA,2,NA,NA,2,0,1,5,2,1,1,1,0,0,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,11,11,NA,NA,4,6,4,NA,NA,4,192,83,2,0,0,1,9,8,7,6,7,7,2,9,4,1,4,2,3,2,5,2,4,1,4,1,2,4,4,3,4,2,4,2,1,2,1,2,4,7,4,6,4,7,3,1,4,0,4,6,5,4,7,7,6,2,1,2,1,1,1,1,2,7,0,7,0,0,8,5,5,0,0,0,"retired","retired"
800228,58,69,"55 - 64",">=65",1,"employed","retired",5000,4800,5000,4800,"employee in permanent employment",NA,6,6,6,0,1,3,7,0,0,0,0,0,0,0,0,0,1,0,NA,NA,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2000,NA,NA,NA,NA,NA,500,NA,2,NA,NA,2,5,3,3,5,1,1,1,1,1,2,2,2,3,3,2,3,3,2,2,9,1,9,9,9,6,6,7,3,6,3,183,84,2,0,0,1,8,8,5,6,6,6,5,6,3,2,2,1,4,2,4,3,4,2,4,2,4,2,4,2,4,2,4,2,2,2,1,1,4,6,7,6,5,6,1,4,7,6,7,5,7,5,7,7,4,1,1,1,2,1,2,1,2,4,5,8,3,3,6,7,7,6,5,4,"employed.permanent","retired"
800289,57,68,"55 - 64",">=65",2,"employed","retired",-13,-13,3533.82352812311,1807.53890899074,"employee in permanent employment",NA,2,2,2,0,1,4,6,0,0,0,0,0,0,0,0,0,0,1,1,NA,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,6800,NA,NA,NA,NA,NA,8000,NA,2,NA,NA,2,NA,2,3,NA,1,1,1,1,1,2,1,2,2,3,3,3,1,2,2,1,6,4,9,8,6,8,4,8,3,3,163,57,2,0,0,1,8,8,6,6,6,4,2,5,4,1,4,4,4,1,5,1,4,4,5,1,5,4,5,3,5,3,3,4,1,2,2,2,2,3,5,6,3,3,4,4,5,8,8,7,8,6,7,8,8,1,1,1,2,1,1,1,4,6,5,5,4,7,5,6,3,3,4,4,"employed.permanent","retired"
800561,21,32,"15-24","25-34",2,"school or other","employed",0,3043,0,3043,NA,"employee in permanent employment",3,3,3,0,3,5,6,0,0,1,0,0,0,0,0,0,0,0,NA,NA,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,600,NA,NA,NA,NA,NA,5000,NA,1,2000,NA,2,1,1,2,2.5,1,1,1,1,0,1,1,1,NA,1,1,NA,1,NA,NA,2,2,3,3,NA,6,6,6,6,NA,3,161,53,2,0,0,1,9,9,6,7,7,6,4,6,4,1,3,3,4,1,5,3,3,3,4,1,4,4,3,3,5,2,4,3,3,2,2,3,5,999,6,6,5,5,999,999,999,6,6,7,8,6,6,6,6,2,1,1,2,2,1,1,3,5,6,6,6,1,4,5,6,1,999,6,"school_other","employed.permanent"
800659,71,81,">=65",">=65",1,"retired","retired",2208,2400,2208,2400,NA,NA,3,3,3,0,2,1,8,0,0,0,0,0,0,0,0,0,1,0,1,NA,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,55000,NA,9000,NA,NA,NA,10000,NA,2,NA,NA,2,1,6,1,1.5,1,1,1,1,1,1,1,2,2,1,2,3,3,3,2,1,4,4,3,3,3,6,6,3,3,4,177,67,2,0,0,1,8,8,6,6,6,6,5,8,4,2,2,2,4,3,4,3,4,3,4,1,5,2,3,3,4,2,2,3,2,4,1,1,7,6,8,8,6,6,7,6,6,7,8,8,8,6,7,7,7,2,2,1,2,1,2,1,4,6,7,4,3,8,5,6,6,6,5,3,"retired","retired"
800674,54,65,"45 - 54",">=65",1,"employed","employed",-13,-13,3230.7993775992,3212.9858010264,"employee in permanent employment","employee in permanent employment",6,5,5,NA,5,5,6,0,0,0,0,0,0,0,0,0,1,0,6,NA,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,11000,NA,4100,NA,NA,NA,15000,NA,2,NA,NA,2,NA,1,3,7,1,1,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,5,6,NA,NA,NA,3,178,78,2,0,0,2,7,7,5,6,6,6,6,4,3,2,4,3,4,5,5,4,3,2,3,1,3,4,4,4,4,2,3,3,2,3,2,2,8,7,1,0,6,5,1,2,6,7,6,8,6,8,6,9,7,2,1,1,1,1,2,1,1,3,8,3,6,5,6,1,0,4,6,0,"employed.permanent","employed.permanent"
